# family	folder	unit	phase	identifier	flows	packet-types	records	codecs	index
World	ChunkBatchStart	ChunkBatchStart	Play	chunk_batch_start	Clientbound	WorldPackets.Clientbound.ChunkBatchStart	ClientboundChunkBatchStartPacket	WorldStateCodecs.ChunkBatchStartV1_20_2	WorldBindings
World	ChunksBiomes	ChunksBiomes	Play	chunks_biomes	Clientbound	WorldPackets.Clientbound.ChunksBiomes	ClientboundChunksBiomesPacket	WorldStateCodecs.ChunksBiomesV1_19_4	WorldBindings
Common	ClearDialog	ClearDialog.Play	Play	clear_dialog	Clientbound	UiPackets.Clientbound.ClearDialog	ClientboundClearDialogPacket	UiMiscCodecs.ClearDialogV1_21_6	UiBindings
Ui	ClearTitles	ClearTitles	Play	clear_titles	Clientbound	UiPackets.Clientbound.ClearTitles	ClientboundClearTitlesPacket	TitleCodecs.ClearTitlesV1_17	UiBindings
Play	ClientCommand	ClientCommand	Play	client_command	Serverbound	PlayPackets.Serverbound.ClientCommand	ServerboundClientCommandPacket	PlayCommonCodecs.ClientCommand	PlayCoreBindings
Common	ClientInformation	ClientInformation.Play	Play	client_information	Serverbound	PlayPackets.Serverbound.ClientInformation	ServerboundPlayClientInformationPacket	PlayClientInformationCodecs.V1_17,PlayClientInformationCodecs.V1_18,PlayClientInformationCodecs.V1_21_2,PlayClientInformationCodecs.V1_8,PlayClientInformationCodecs.V1_9	PlayCoreBindings
Play	ClientTickEnd	ClientTickEnd	Play	client_tick_end	Serverbound	PlayPackets.Serverbound.ClientTickEnd	ServerboundClientTickEndPacket	PlayCommonCodecs.ClientTickEnd	PlayCoreBindings
Ui	CommandSuggestion	CommandSuggestion	Play	command_suggestion	Serverbound	UiPackets.Serverbound.CommandSuggestion	ServerboundCommandSuggestionPacket	CommandSuggestionCodecs.ServerCommandSuggestionV1_13	UiBindings
Ui	CommandSuggestions	CommandSuggestions	Play	command_suggestions	Clientbound	UiPackets.Clientbound.CommandSuggestions	ClientboundCommandSuggestionsPacket	CommandSuggestionCodecs.CommandSuggestionsV1_13,CommandSuggestionCodecs.CommandSuggestionsV1_20_3	UiBindings
Command	Commands	Commands	Play	commands	Clientbound	CommandsPackets.Clientbound.Commands	ClientboundCommandsPacket	CommandTreeCodecs.V1_13,CommandTreeCodecs.V1_21_5,CommandTreeCodecs.V1_21_6,CommandTreeCodecs.V26_2,CommandTreeCodecs.V1_19,CommandTreeCodecs.V1_19_3,CommandTreeCodecs.V1_19_4,CommandTreeCodecs.V1_20_3,CommandTreeCodecs.V1_20_5	CommandsBindings
Play	ConfigurationAcknowledged	ConfigurationAcknowledged	Play	configuration_acknowledged	Serverbound	PlayPackets.Serverbound.ConfigurationAcknowledged	ServerboundConfigurationAcknowledgedPacket	ConfigurationCodecs.ConfigurationAcknowledged	PlayCoreBindings
Container	ContainerButtonClick	ContainerButtonClick	Play	container_button_click	Serverbound	ItemPackets.Serverbound.ContainerButtonClick	ServerboundContainerButtonClickPacket	ContainerCodecs.ContainerButtonClickModern,ContainerCodecs.ContainerButtonClickV1_8	ItemBindings
Container	ContainerClick	ContainerClick	Play	container_click	Serverbound	ItemPackets.Serverbound.ContainerClick	ServerboundContainerClickPacket	ContainerCodecs.ContainerClick770,ContainerCodecs.ContainerClick776,ContainerCodecs.ContainerClickV1_13,ContainerCodecs.ContainerClickV1_13_2,ContainerCodecs.ContainerClickV1_14,ContainerCodecs.ContainerClickV1_17,ContainerCodecs.ContainerClickV1_17_1,ContainerCodecs.ContainerClickV1_20_2,ContainerCodecs.ContainerClickV1_20_5,ContainerCodecs.ContainerClickV1_21,ContainerCodecs.ContainerClickV1_21_2,ContainerCodecs.ContainerClickV1_21_4,ContainerCodecs.ContainerClickV1_8	ItemBindings
Container	ContainerClose	ContainerClose	Play	container_close	Clientbound,Serverbound	ItemPackets.Clientbound.ContainerClose,ItemPackets.Serverbound.ContainerClose	ClientboundContainerClosePacket,ServerboundContainerClosePacket	ContainerCodecs.ContainerCloseClientModern,ContainerCodecs.ContainerCloseClientV1_8,ContainerCodecs.ContainerCloseServerModern,ContainerCodecs.ContainerCloseServerV1_8	ItemBindings
